46,46,46,13,13,13,13,13,13,13,13,13,13,46,46
46,46,46,46,46,46,13,13,13,13,46,23,46,46,46
46,46,46,25,25,46,13,46,13,13,23,23,46,13,13
46,46,25,25,25,25,13,46,13,13,23,23,13,13,13
46,46,25,25,25,25,13,46,46,13,13,23,13,13,13
46,46,46,25,25,13,13,13,13,13,13,23,23,23,23
46,46,46,0,0,0,13,13,13,13,13,23,23,23,23
46,46,46,13,0,46,46,13,13,23,23,23,23,25,25
46,46,46,13,13,46,46,0,13,23,23,23,25,25,25
46,46,13,13,13,13,0,0,0,23,23,25,25,25,25
46,46,13,13,13,13,13,13,23,23,23,25,25,25,25
46,46,13,13,13,13,13,13,23,23,25,25,25,25,25
46,46,13,58,58,13,13,23,23,23,25,25,25,25,25
46,46,46,58,58,58,13,23,23,23,25,25,25,25,25
46,46,46,58,58,58,13,23,23,23,25,25,25,25,25
